docname,topic,proportion
ADHD218,001,0.079003
ADHD221,001,0.696973
ADHD221,000,0.303027
ADHD32,003,1.0
ADHD40,001,0.512721
ADHD40,002,0.354107
ADHD40,000,0.118
ADHD40,007,0.015172
ADHD146,000,0.880327
ADHD146,001,0.087625
ADHD146,002,0.032048
ADHD43,001,0.820083
ADHD43,002,0.105035
ADHD43,000,0.074882
ADHD106,000,0.76079
ADHD106,001,0.170515
ADHD106,005,0.057406
ADHD106,006,0.011289
ADHD62,001,0.897121
ADHD62,000,0.102879
ADHD11,002,0.558403
ADHD11,000,0.411403
ADHD11,001,0.030194
ADHD108,002,0.508635
ADHD108,000,0.248007
ADHD108,001,0.182321
ADHD108,004,0.061038
ADHD136,000,0.472139
ADHD136,002,0.457925
ADHD136,001,0.069936
ADHD116,000,0.739919
ADHD116,001,0.233897
ADHD116,005,0.018765
ADHD116,002,0.007419
ADHD133,000,0.879177
ADHD133,002,0.105543
ADHD133,001,0.015279
ADHD182,001,0.647035
ADHD182,000,0.252884
ADHD182,005,0.083881
ADHD182,002,0.0162
ADHD60,001,0.822244
ADHD60,000,0.159928
ADHD60,005,0.017828
ADHD83,000,0.862512
ADHD83,002,0.097908
ADHD83,001,0.03958
ADHD10,000,0.760902
ADHD10,001,0.181676
ADHD10,005,0.035781
ADHD10,004,0.011032
ADHD10,002,0.010609
ADHD66,001,0.833176
ADHD66,000,0.166824
ADHD149,000,0.967535
ADHD149,001,0.032465
ADHD183,000,0.609004
ADHD183,001,0.281725
ADHD183,002,0.109271
ADHD226,007,1.0
ADHD179,004,1.0
ADHD130,000,0.876634
ADHD130,004,0.059099
ADHD130,001,0.044887
ADHD130,002,0.01938
ADHD12,000,0.859126
ADHD12,006,0.073082
ADHD12,001,0.067792
ADHD23,002,0.576291
ADHD23,001,0.276129
ADHD23,000,0.14758
ADHD145,002,0.912113
ADHD145,000,0.087887
ADHD69,000,0.926175
ADHD69,002,0.067077
ADHD69,001,0.006748
ADHD63,000,1.0
ADHD125,000,0.701498
ADHD125,001,0.285169
ADHD125,005,0.013333
ADHD210,000,0.80764
ADHD210,001,0.119574
ADHD210,002,0.072786
ADHD181,002,0.47206
ADHD181,000,0.362969
ADHD181,001,0.164971
ADHD216,002,0.819305
ADHD216,000,0.180695
ADHD91,002,1.0
ADHD229,000,0.847457
ADHD229,002,0.054008
ADHD229,001,0.053192
ADHD229,005,0.045343
ADHD64,000,0.656715
ADHD64,001,0.343285
ADHD209,000,0.638075
ADHD209,004,0.24514
ADHD209,002,0.058774
ADHD209,001,0.058011
ADHD122,000,0.620557
ADHD122,004,0.243966
ADHD122,002,0.135477
ADHD148,000,0.522996
ADHD148,002,0.304976
ADHD148,001,0.172028
ADHD147,000,0.914216
ADHD147,004,0.048369
ADHD147,001,0.037416
ADHD204,000,0.512542
ADHD204,001,0.427077
ADHD204,002,0.060381
ADHD192,001,0.692249
ADHD192,000,0.307751
ADHD213,000,0.928298
ADHD213,001,0.053173
ADHD213,002,0.018529
ADHD144,000,0.553107
ADHD144,002,0.330059
ADHD144,001,0.116834
ADHD178,000,0.797069
ADHD178,001,0.174394
ADHD178,005,0.017367
ADHD178,002,0.01117
ADHD112,000,0.82996
ADHD112,002,0.17004
ADHD163,000,0.790716
ADHD163,001,0.178295
ADHD163,002,0.030989
ADHD166,001,0.543174
ADHD166,000,0.33922
ADHD166,002,0.117605
ADHD41,002,0.579085
ADHD41,000,0.337964
ADHD41,001,0.082951
ADHD104,000,0.902694
ADHD104,001,0.061023
ADHD104,004,0.036284
ADHD121,003,1.0
ADHD138,000,0.939512
ADHD138,001,0.060488
ADHD123,002,0.434329
ADHD123,004,0.38285
ADHD123,001,0.182821
ADHD30,000,1.0
ADHD160,001,0.668714
ADHD160,000,0.328874
ADHD160,006,0.002412
ADHD73,000,0.638135
ADHD73,001,0.361865
ADHD80,002,0.60363
ADHD80,000,0.249528
ADHD80,001,0.146842
ADHD119,004,1.0
ADHD232,003,1.0
ADHD72,001,1.0
ADHD94,001,0.802488
ADHD94,000,0.197512
ADHD38,002,0.810159
ADHD38,000,0.189841
ADHD87,003,0.497053
ADHD87,001,0.461806
ADHD87,000,0.041142
ADHD45,001,1.0
ADHD207,000,0.963312
ADHD207,006,0.036688
ADHD65,000,0.587314
ADHD65,001,0.243273
ADHD65,005,0.127805
ADHD65,002,0.041608
ADHD37,001,0.601325
ADHD37,000,0.217231
ADHD37,002,0.181445
ADHD35,000,0.646241
ADHD35,001,0.353759
ADHD27,002,0.429813
ADHD27,000,0.313247
ADHD27,001,0.159342
ADHD27,004,0.097598
ADHD186,001,0.445055
ADHD186,000,0.401542
ADHD186,002,0.153403
ADHD177,000,0.631331
ADHD177,001,0.206218
ADHD177,002,0.120335
ADHD177,006,0.042116
ADHD131,000,0.957622
ADHD131,002,0.042378
ADHD157,000,0.827778
ADHD157,004,0.138894
ADHD157,001,0.033329
ADHD126,000,0.734016
ADHD126,002,0.265984
ADHD233,003,0.872697
ADHD233,000,0.127303
ADHD155,002,0.471373
ADHD155,000,0.376356
ADHD155,001,0.152271
ADHD18,001,1.0
ADHD98,001,0.51346
ADHD98,000,0.476428
ADHD98,005,0.010112
ADHD185,000,0.844773
ADHD185,004,0.067976
ADHD185,001,0.053358
ADHD185,002,0.027453
ADHD185,005,0.00644
ADHD171,000,0.604795
ADHD171,001,0.315091
ADHD171,002,0.080114
ADHD33,000,0.894049
ADHD33,001,0.094955
ADHD33,002,0.010996
ADHD127,000,0.920849
ADHD127,001,0.063304
ADHD127,007,0.015848
ADHD194,000,0.927931
ADHD194,002,0.072069
ADHD20,000,0.749803
ADHD20,001,0.0984
ADHD20,006,0.077377
ADHD20,002,0.074419
ADHD93,000,0.629666
ADHD93,001,0.333607
ADHD93,005,0.036728
ADHD151,002,0.719264
ADHD151,000,0.236226
ADHD151,001,0.04451
ADHD128,001,0.650251
ADHD128,000,0.195844
ADHD128,002,0.116778
ADHD128,005,0.037127
ADHD111,000,0.601004
ADHD111,001,0.347734
ADHD111,002,0.046299
ADHD111,005,0.004963
ADHD187,001,1.0
ADHD191,000,0.828596
ADHD191,001,0.158481
ADHD191,005,0.012924
ADHD14,001,0.918337
ADHD14,000,0.075302
ADHD14,005,0.006361
ADHD162,000,0.700723
ADHD162,001,0.299277
ADHD197,001,0.780966
ADHD197,002,0.111745
ADHD197,000,0.107289
ADHD196,000,0.850269
ADHD196,001,0.149731
ADHD212,000,0.770547
ADHD212,001,0.134412
ADHD212,002,0.095041
ADHD75,000,1.0
ADHD74,000,0.90954
ADHD74,001,0.070313
ADHD74,002,0.020147
ADHD188,000,0.823556
ADHD188,001,0.176444
ADHD88,000,0.614037
ADHD88,002,0.352327
ADHD88,001,0.033636
ADHD224,001,0.491166
ADHD224,000,0.42855
ADHD224,005,0.042738
ADHD224,002,0.037546
ADHD170,000,0.697816
ADHD170,003,0.227091
ADHD170,002,0.075093
ADHD208,000,0.749212
ADHD208,002,0.186103
ADHD208,001,0.064685
ADHD115,001,0.81693
ADHD115,002,0.144827
ADHD115,005,0.028899
ADHD115,000,0.009344
ADHD105,001,0.78146
ADHD105,000,0.155912
ADHD105,002,0.062629
ADHD57,002,0.837141
ADHD57,000,0.162859
ADHD36,001,0.928806
ADHD36,000,0.071194
ADHD44,000,0.671024
ADHD44,001,0.239453
ADHD44,002,0.068733
ADHD44,005,0.02079
ADHD46,001,1.0
ADHD139,000,0.488627
ADHD139,001,0.480306
ADHD139,005,0.031067
ADHD222,000,0.937643
ADHD222,001,0.039812
ADHD222,002,0.022545
ADHD90,000,0.974393
ADHD90,001,0.025607
ADHD16,000,0.453489
ADHD16,001,0.35389
ADHD16,002,0.166613
ADHD16,005,0.026008
ADHD220,000,0.894171
ADHD220,001,0.090708
ADHD220,002,0.01512
ADHD68,001,0.910824
ADHD68,003,0.080217
ADHD68,000,0.008959
ADHD54,006,1.0
ADHD184,000,0.797305
ADHD184,002,0.182116
ADHD184,001,0.020579
ADHD85,002,0.567989
ADHD85,000,0.236321
ADHD85,001,0.195689
ADHD117,000,0.940507
ADHD117,002,0.048174
ADHD117,005,0.011319
ADHD31,000,0.953341
ADHD31,001,0.046659
ADHD96,004,0.879877
ADHD96,000,0.120123
ADHD103,001,0.665652
