docname,topic,proportion
ADHD103,001,0.665646
ADHD103,000,0.247123
ADHD103,002,0.079543
ADHD103,005,0.007688
ADHD222,000,0.937651
ADHD222,001,0.039808
ADHD222,002,0.022542
ADHD0,000,0.574156
ADHD0,002,0.214711
ADHD0,001,0.119937
ADHD0,003,0.051112
ADHD0,006,0.040083
ADHD50,000,0.866482
ADHD50,002,0.086035
ADHD50,001,0.047484
ADHD187,001,1.0
ADHD83,000,0.862527
ADHD83,002,0.097904
ADHD83,001,0.039569
ADHD71,000,0.727082
ADHD71,004,0.215555
ADHD71,002,0.049348
ADHD71,001,0.008015
ADHD219,000,0.745263
ADHD219,001,0.245997
ADHD219,002,0.00874
ADHD39,000,1.0
ADHD94,001,0.802481
ADHD94,000,0.197519
ADHD35,000,0.646294
ADHD35,001,0.353706
ADHD52,000,0.744009
ADHD52,002,0.155635
ADHD52,001,0.100356
ADHD44,000,0.671076
ADHD44,001,0.239417
ADHD44,002,0.068719
ADHD44,005,0.020788
ADHD157,000,0.827793
ADHD157,004,0.138883
ADHD157,001,0.033323
ADHD220,000,0.894184
ADHD220,001,0.090696
ADHD220,002,0.01512
ADHD179,004,1.0
ADHD143,000,0.986074
ADHD143,001,0.013926
ADHD161,000,0.742912
ADHD161,004,0.218164
ADHD161,001,0.021572
ADHD161,002,0.017353
ADHD75,000,1.0
ADHD45,001,1.0
ADHD69,000,0.92618
ADHD69,002,0.067072
ADHD69,001,0.006747
ADHD81,000,0.807871
ADHD81,004,0.111456
ADHD81,001,0.07246
ADHD81,002,0.008212
ADHD28,001,0.856726
ADHD28,000,0.143274
ADHD70,001,0.748931
ADHD70,000,0.199726
ADHD70,002,0.051344
ADHD77,000,0.90804
ADHD77,001,0.081618
ADHD77,002,0.010342
ADHD111,000,0.600883
ADHD111,001,0.347821
ADHD111,002,0.046332
ADHD111,005,0.004963
ADHD51,000,0.760437
ADHD51,001,0.184436
ADHD51,002,0.055127
ADHD210,000,0.807672
ADHD210,001,0.11956
ADHD210,002,0.072768
ADHD165,001,0.575181
ADHD165,000,0.308362
ADHD165,002,0.115587
ADHD165,005,0.00087
ADHD218,000,0.921009
ADHD218,001,0.078991
ADHD114,000,0.868529
ADHD114,001,0.091392
ADHD114,002,0.040079
ADHD164,001,0.526788
ADHD164,000,0.355529
ADHD164,002,0.061414
ADHD164,005,0.056269
ADHD68,001,0.910842
ADHD68,003,0.080199
ADHD68,000,0.008959
ADHD15,002,0.445263
ADHD15,003,0.373907
ADHD15,001,0.18083
ADHD171,000,0.604835
ADHD171,001,0.315061
ADHD171,002,0.080103
ADHD170,000,0.697798
ADHD170,003,0.227118
ADHD170,002,0.075085
ADHD154,001,0.944133
ADHD154,000,0.055867
ADHD201,001,0.678608
ADHD201,000,0.309342
ADHD201,002,0.01205
ADHD122,000,0.620582
ADHD122,004,0.24395
ADHD122,002,0.135468
ADHD63,000,1.0
ADHD197,001,0.780964
ADHD197,002,0.111739
ADHD197,000,0.107297
ADHD231,000,0.925925
ADHD231,001,0.052307
ADHD231,002,0.021768
ADHD62,001,0.897118
ADHD62,000,0.102882
ADHD98,001,0.513422
ADHD98,000,0.476468
ADHD98,005,0.01011
ADHD11,002,0.558377
ADHD11,000,0.411444
ADHD11,001,0.030179
ADHD88,000,0.614063
ADHD88,002,0.352304
ADHD88,001,0.033633
ADHD85,002,0.567986
ADHD85,000,0.236344
ADHD85,001,0.19567
ADHD134,000,0.826801
ADHD134,002,0.087723
ADHD134,001,0.044178
ADHD134,005,0.041298
ADHD160,001,0.668673
ADHD160,000,0.328914
ADHD160,006,0.002413
ADHD26,000,0.614023
ADHD26,001,0.385977
ADHD178,000,0.797131
ADHD178,001,0.174348
ADHD178,005,0.017367
ADHD178,002,0.011154
ADHD107,000,0.86551
ADHD107,001,0.100796
ADHD107,004,0.033694
ADHD100,000,0.807964
ADHD100,001,0.182825
ADHD100,002,0.009212
ADHD96,004,0.879877
ADHD96,000,0.120123
ADHD169,002,1.0
ADHD80,002,0.603617
ADHD80,000,0.249552
ADHD80,001,0.146831
ADHD121,003,1.0
ADHD7,001,0.43181
